group,before_score,after_score,algorithm,accuracy
C,74.29068825905652,76.82920545259722,alg1,0.8069904901968445
B,62.68247254990978,64.12263308338352,alg1,0.809730740841268
C,74.96438572769388,78.48960180528054,alg1,0.768073806887033
A,68.71250098509549,76.4565123460401,alg1,0.8633301637594543
B,66.89388480818708,70.85500052638798,alg1,0.8465819068073845
A,62.91590100936921,65.05071769624705,alg1,0.8158876653687444
A,67.14603979385444,68.55615484489472,alg2,0.7968927043497432
B,74.44897438827172,78.2387373787789,alg1,0.7548740251560877
C,78.35088488734927,78.36096174423398,alg2,0.8550918785317112
A,74.21158529067756,75.61119960749068,alg1,0.860033369225924
B,80.91109219533683,87.997227499055,alg2,0.8646413223813625
A,90.31330173015466,96.95982934445713,alg2,0.8974040228522561
A,67.40407233736886,71.14724804428944,alg2,0.846404472419032
A,68.35306626323596,71.42173672072687,alg1,0.8438921628908898
A,58.47966841852961,62.5966862231433,alg1,0.8115584468034673
C,79.52581804890912,88.22181190580976,alg2,0.8676498555538192
A,80.3951745141159,85.20512553165695,alg1,0.8198140258097838
A,63.06283075160357,68.88230710152321,alg2,0.8404282893680097
A,74.94112676408916,78.53621171242607,alg1,0.8536803305439405
C,79.73656637584088,83.8583595900752,alg2,0.881047627812418
A,71.810306155991,77.10463154956508,alg2,0.7837568034497837
A,76.77921146061311,81.03140111626116,alg1,0.8177408903573462
C,71.39866409593176,71.60391013095445,alg2,0.8418939004396738
C,60.26516086112609,66.82624238448102,alg1,0.8346301982476988
C,78.39477913856692,81.16451178302425,alg2,0.8424963219677647
A,80.6008452921136,88.82348057534611,alg2,0.889031572994869
C,75.87600851904037,81.24970554457231,alg1,0.8816527782586441
C,62.364021904308636,66.50596673558813,alg1,0.8104191997739902
A,63.99056460268857,68.86921888289544,alg1,0.8065994958792799
C,60.95657557503576,64.73957979790873,alg2,0.8246936511326358
A,76.15981887944635,79.18695334734163,alg1,0.7955350278013453
B,80.14711617923122,84.56231270180265,alg2,0.8504816025593179
C,73.39588995245161,79.16587088682495,alg2,0.842824640019095
B,77.52428467969608,80.59522518240614,alg1,0.8142540152826012
A,63.058871280165,65.81439695035245,alg1,0.8217242200907289
C,71.16689481942647,74.45591753759375,alg2,0.8528686133766817
A,59.04103154626963,64.94505373396302,alg2,0.8234555217424604
B,63.825754004053934,70.73085449897867,alg1,0.8212640224522578
A,77.02938838552717,81.75341620941211,alg1,0.8354376697207161
C,68.08324393444953,73.24587220252097,alg1,0.8561390521772747
C,79.67505576549307,82.41565405096284,alg1,0.8455406279380152
B,74.30368002953597,80.05718932944062,alg1,0.8013890883239334
