"husage","husunion","husearns","huseduc","husblck","hushisp","hushrs","kidge6","earns","age","black","educ","hispanic","union","exper","kidlt6","lwage"
30,0,825,16,0,0,50,0,500,28,0,18,0,0,4,0,1.783791
31,0,266,13,0,1,38,0,200,27,0,12,1,0,9,1,1.609438
41,1,520,12,0,0,40,1,240,37,0,13,0,0,18,0,1.791759
44,0,401,6,0,0,40,0,220,45,0,12,0,0,27,0,1.704748
38,0,780,14,0,0,40,1,95,40,0,14,0,0,20,0,1.845827
46,0,950,11,0,0,45,0,150,46,0,11,0,0,29,0,1.832582
31,0,550,12,0,0,40,0,670,30,0,12,0,0,12,0,2.412933
37,0,200,12,0,0,40,1,286,47,0,12,0,0,29,0,1.967112
27,0,338,12,0,0,25,0,333,28,0,16,0,0,6,1,2.119263
33,1,480,13,1,0,40,0,360,32,1,14,0,0,12,1,2.197225
33,0,850,18,0,0,40,0,646,34,0,16,0,0,12,0,2.78192
42,0,1250,18,0,0,50,1,769,42,0,16,0,0,20,0,2.301286
46,0,800,18,0,0,40,0,400,44,0,18,0,0,20,1,2.813411
60,0,450,10,0,0,54,0,543,57,0,12,0,1,39,0,2.60823
51,0,500,12,1,0,70,0,80,46,1,10,0,0,30,0,2.079442
54,0,400,12,0,0,40,0,325,54,0,12,0,0,36,0,2.094946
50,0,220,6,0,1,40,1,260,43,0,3,1,1,34,0,1.871802
44,0,337,14,0,0,70,1,332,42,0,12,0,0,24,0,2.116256
48,1,600,12,0,0,40,0,235,50,0,13,0,0,31,0,1.904238
37,0,600,18,0,0,38,0,230,26,0,13,0,0,7,1,2.219203
40,0,700,18,0,0,32,1,35,40,0,16,0,0,18,0,2.862201
24,0,280,12,1,0,40,0,200,29,1,12,0,0,11,1,1.89712
54,0,500,12,0,0,55,0,100,51,0,12,0,0,33,0,1.560648
50,0,780,12,0,0,40,0,600,42,0,16,0,1,20,0,2.70805
49,1,606,12,0,0,57,0,126,50,0,12,0,0,32,0,1.504077
37,1,600,16,0,0,38,1,450,36,0,16,0,1,14,0,2.5539
56,0,1200,12,0,0,40,0,450,54,0,15,0,0,33,0,2.931194
24,0,430,16,0,0,40,0,153,23,0,16,0,0,1,0,1.629241
26,0,277,18,0,0,40,0,140,26,1,12,0,0,8,1,1.386294
51,0,1600,18,0,0,50,0,275,51,0,12,0,0,33,0,2.320934
34,0,368,10,0,0,32,1,231,33,0,12,0,0,15,0,1.753538
29,0,1092,12,0,0,84,0,300,30,0,16,0,0,8,1,2.148434
35,0,175,18,0,0,20,0,400,27,0,16,0,0,5,1,2.302585
37,0,400,12,0,0,40,1,400,38,0,14,0,0,18,0,2.302585
53,0,425,12,0,0,40,0,490,45,0,12,0,0,27,0,2.505526
27,0,625,13,0,0,40,0,396,26,0,12,0,0,8,0,2.426066
24,0,300,12,0,0,40,0,500,22,0,16,0,0,0,0,2.343407
39,0,360,14,0,0,40,0,500,33,0,14,0,1,13,1,2.525729
26,0,1200,13,0,0,40,0,500,25,0,16,0,0,3,0,2.407946
38,1,1000,14,0,0,46,0,700,38,0,14,0,1,18,1,2.995732
38,0,770,14,0,0,32,1,414,38,0,14,0,0,18,0,2.847812
33,0,400,12,0,0,40,0,105,28,0,12,0,0,10,0,1.252763
27,0,200,12,0,0,40,0,326,22,0,12,0,0,4,0,2.098018
39,0,1500,16,0,0,40,0,500,38,0,12,0,1,20,0,2.525729
32,0,650,13,0,0,50,1,425,33,0,14,0,0,13,0,2.36321
52,0,440,10,0,0,40,1,126,37,0,12,0,0,19,0,1.370546
64,0,71,14,0,0,16,1,230,54,0,15,0,0,33,0,1.7492
54,0,770,18,0,0,40,0,475,56,0,14,0,0,36,0,2.474435
25,0,230,13,0,0,40,0,650,24,0,14,1,0,4,1,2.788093
34,0,400,12,0,0,48,0,200,34,0,10,0,0,18,1,1.89712
42,0,486,12,0,0,48,0,136,39,0,12,0,0,21,0,1.734601
31,0,170,12,0,0,40,0,200,31,0,12,0,0,13,1,1.609438
61,0,264,12,0,0,40,0,418,55,0,12,0,0,37,0,2.346602
52,0,234,10,0,0,56,0,90,50,0,12,0,0,32,0,2.197225
36,0,700,14,0,0,40,0,680,33,0,14,0,0,13,1,2.938574
50,0,300,12,0,0,45,0,300,51,0,12,0,0,33,0,2.014903
35,0,550,16,0,0,40,0,300,34,0,16,0,0,12,1,2.302585
42,1,529,18,0,0,40,0,323,32,0,14,0,0,12,1,2.088773
35,0,480,13,0,1,40,0,351,35,0,14,1,0,15,1,2.459589
41,1,750,17,1,0,55,0,770,42,1,17,0,1,19,1,2.734367
41,0,340,13,0,0,40,1,233,41,0,12,0,0,23,0,1.762159
57,0,600,14,1,0,40,0,450,50,1,12,0,0,32,0,2.420368
36,0,923,13,0,0,0,0,969,35,0,16,0,0,13,0,2.964242
30,0,380,12,0,0,8,1,385,35,0,12,0,0,17,0,2.264364
32,1,324,14,0,0,40,1,113,34,0,14,0,0,14,0,1.508512
28,0,500,14,0,0,40,0,400,25,0,16,1,0,3,0,2.302585
43,1,700,12,1,0,40,1,450,41,1,12,0,0,23,0,2.302585
59,0,550,13,0,0,49,0,760,57,0,18,0,0,33,0,2.721295
29,0,375,16,0,0,40,0,310,28,0,16,0,0,6,0,2.047693
30,0,962,18,0,0,40,0,480,29,0,16,0,0,7,0,2.261763
45,0,600,16,0,0,50,0,600,43,0,18,0,1,19,0,2.70805
27,0,750,16,0,0,38,0,450,27,0,16,0,0,5,0,2.420368
57,0,1923,16,0,0,60,0,1000,56,0,16,0,0,34,0,2.995732
34,0,970,16,0,0,50,0,500,32,0,15,0,0,11,1,3.324236
26,1,400,12,0,0,50,0,320,24,0,12,0,0,6,0,2.079442
46,0,736,11,0,0,52,1,196,42,0,12,0,0,24,0,1.876917
44,0,900,16,0,0,32,0,150,39,0,16,0,0,17,0,1.321756
30,0,360,14,0,0,40,0,512,29,0,16,0,1,7,1,2.772589
41,0,750,13,0,0,55,1,275,38,0,13,0,0,19,0,1.927892
32,0,456,12,0,0,54,0,118,30,0,12,0,0,12,1,2.062634
57,1,480,16,0,0,40,0,240,36,0,12,0,1,18,0,1.791759
47,0,500,13,0,0,40,1,168,46,0,14,0,0,26,0,1.94591
35,0,900,13,0,0,40,1,105,39,0,12,0,0,21,0,1.658228
39,0,1200,16,0,0,40,1,400,34,0,15,0,0,13,0,2.302585
41,0,1100,14,0,0,40,1,287,40,0,14,0,0,20,0,2.104134
57,1,500,18,0,0,48,0,750,53,0,14,0,0,33,0,2.525729
42,1,664,13,0,0,16,0,355,43,0,12,0,0,25,0,2.183238
61,0,550,13,0,0,40,0,400,59,0,14,0,0,39,0,2.302585
25,0,320,13,0,0,40,0,404,25,0,14,0,0,5,1,2.312536
33,0,280,14,0,0,40,0,500,32,0,17,0,1,9,0,2.525729
58,0,1923,12,0,0,40,0,600,55,0,12,0,0,37,0,2.70805
48,1,440,12,0,1,48,1,40,48,0,12,1,0,30,0,-0.223143
39,0,540,16,0,0,40,0,540,36,0,16,0,0,14,1,2.60269
52,0,1300,16,0,0,40,0,462,50,0,16,0,1,28,0,2.328902
43,0,450,13,0,0,35,0,425,42,0,12,0,0,24,0,2.496741
45,1,611,12,0,0,40,0,608,40,0,15,0,1,19,0,2.721295
40,1,750,18,0,0,60,0,415,37,0,15,0,0,16,0,1.751612
34,0,512,12,0,1,50,0,308,27,0,12,1,0,9,1,2.04122
57,0,750,12,0,0,52,0,350,52,0,12,0,0,34,0,2.302585
41,1,727,14,0,0,40,0,727,42,0,12,0,1,24,1,2.900047
26,0,470,12,1,0,40,0,500,25,1,12,0,0,7,0,2.525729
33,0,865,16,0,0,40,0,150,29,0,12,0,0,11,1,1.321756
46,0,480,16,0,0,60,1,340,44,0,17,0,0,21,0,2.140066
30,0,950,14,0,0,52,0,333,30,0,14,0,0,10,0,2.119263
47,0,907,14,0,0,40,1,160,47,0,12,0,1,29,0,2.079442
42,0,660,16,0,0,40,0,375,40,0,16,0,0,18,1,2.238047
24,0,280,9,0,0,42,0,400,23,0,12,0,0,5,1,2.184802
21,0,600,13,0,0,56,1,300,33,0,12,0,0,15,0,2.014903
41,0,400,12,0,0,45,1,350,44,0,16,0,0,22,0,2.051271
41,0,240,12,0,0,48,1,550,38,0,12,0,0,20,0,2.503256
47,0,1200,14,0,0,40,0,450,46,0,12,0,0,28,0,2.5539
41,0,675,13,0,0,55,1,276,42,0,13,0,0,23,0,1.931521
44,0,420,12,0,0,52,1,345,43,0,13,0,0,24,0,2.442347
29,0,350,17,0,0,40,0,497,29,0,14,0,0,9,1,2.625071
29,0,375,16,0,0,35,0,200,29,0,16,0,0,7,0,1.609438
40,0,625,18,0,0,35,1,165,37,0,12,0,0,19,0,1.88707
55,0,450,12,0,0,40,1,314,41,0,12,0,0,23,0,2.060513
43,1,260,13,0,0,40,1,300,44,0,14,0,1,24,0,2.014903
28,0,800,14,0,0,55,0,68,31,0,13,1,0,12,0,0.81831
37,0,635,18,0,0,32,0,615,28,0,18,0,0,4,1,2.732743
29,0,756,16,0,0,43,0,654,30,0,16,0,0,8,0,2.794228
42,0,641,12,0,0,45,0,600,44,0,18,0,0,20,1,3.688879
43,1,413,14,0,0,40,1,260,42,0,12,0,0,24,0,1.871802
37,0,540,12,0,0,38,1,140,28,0,10,0,0,12,0,1.252763
51,0,240,12,0,0,40,0,430,48,0,12,0,0,30,0,2.508437
27,0,225,12,1,0,40,0,357,29,1,12,0,0,11,1,2.188856
22,0,320,12,0,0,40,0,40,21,0,13,0,0,2,0,1.609438
24,0,310,12,0,0,32,0,900,57,0,12,0,0,39,1,3.113515
28,0,190,6,0,1,40,0,200,25,0,9,1,1,10,1,1.609438
42,0,500,18,0,0,40,1,400,28,0,18,0,0,4,0,2.302585
45,1,780,12,0,0,40,1,435,42,0,12,0,0,24,0,2.386467
52,0,630,12,0,0,55,0,580,53,0,12,0,0,35,0,2.355695
40,0,385,12,0,0,58,1,433,37,0,12,0,1,19,0,2.381858
49,1,460,12,0,0,40,0,280,45,0,12,0,1,27,0,1.94591
52,0,615,14,0,0,50,1,28,43,0,12,0,0,25,0,1.722767
32,0,400,12,0,0,60,0,360,30,0,12,0,0,12,1,2.197225
57,1,875,12,0,0,45,0,442,49,0,12,0,0,31,0,2.402431
31,0,425,12,0,0,50,0,150,24,0,10,0,0,8,1,1.609438
58,0,300,12,0,0,49,0,90,58,0,12,0,1,40,0,1.791759
33,0,500,12,0,1,40,0,54,37,0,13,0,0,18,1,1.504077
55,0,660,12,0,0,40,0,600,45,0,12,0,0,27,0,3.218876
59,0,625,12,0,0,45,0,398,56,0,12,0,1,38,0,2.297573
28,0,300,12,0,0,40,0,180,29,0,12,0,0,11,1,2.197225
29,0,300,12,0,1,40,0,344,27,0,12,1,0,9,1,2.151762
45,0,1500,14,0,0,40,0,600,44,0,16,0,0,22,0,2.70805
43,0,296,12,0,0,60,0,289,37,0,12,0,0,19,0,1.977547
37,1,650,12,0,0,45,0,370,26,0,13,0,0,7,0,2.224623
61,0,250,10,0,0,52,0,200,58,0,12,0,0,40,0,1.742969
35,1,530,12,0,0,45,1,682,34,0,12,0,0,16,0,2.83615
36,0,600,12,0,0,60,0,350,35,0,16,0,0,13,1,2.169054
34,1,660,8,0,0,60,0,195,29,0,14,0,0,9,1,2.228477
21,0,234,12,0,0,34,0,200,19,0,12,0,0,1,1,1.609438
37,0,600,13,0,0,60,0,458,30,0,12,0,0,12,1,2.43799
47,1,440,12,1,0,40,0,162,45,1,12,0,1,27,0,1.398717
52,1,440,12,0,0,40,0,82,55,0,12,0,0,37,0,0.71784
62,0,692,12,0,0,40,0,692,57,0,12,0,0,39,0,2.850706
41,1,85,12,1,0,40,1,268,39,1,12,0,1,21,0,1.902107
42,1,224,12,1,0,40,1,500,41,1,12,0,0,23,0,2.525729
28,0,446,12,0,0,40,0,420,41,0,13,0,0,22,0,2.351375
59,0,700,16,0,0,40,0,130,54,0,16,0,0,32,0,1.871802
55,0,268,12,0,0,0,0,220,52,0,12,0,0,34,0,1.704748
44,0,300,11,1,0,40,1,300,45,1,12,0,1,27,0,2.014903
35,1,666,12,0,0,44,0,360,27,0,12,0,0,9,0,2.197225
44,1,900,14,0,0,40,1,65,44,0,12,0,0,26,0,1.977163
24,0,320,14,0,0,40,0,35,20,0,12,0,0,2,1,1.763589
32,1,560,13,0,1,40,0,308,33,0,15,1,0,12,1,2.04122
35,0,443,16,0,0,55,0,275,25,0,16,0,0,3,0,1.810109
44,1,538,17,0,0,40,0,480,36,0,17,0,1,13,1,2.484907
31,1,742,16,0,0,45,0,385,26,0,14,0,0,6,0,2.264364
31,0,485,12,0,0,58,0,125,26,0,12,0,0,8,1,1.65026
36,0,382,18,0,0,29,0,609,32,0,14,0,1,12,1,2.722939
26,0,300,12,0,0,40,1,113,30,0,6,1,0,18,0,1.508512
38,0,788,14,0,0,0,1,672,37,0,15,0,0,16,0,3.332205
42,0,850,18,0,0,40,0,60,34,0,14,0,0,14,1,1.609438
26,0,770,16,0,1,40,0,300,24,0,16,0,0,2,0,2.014903
31,1,234,16,0,0,25,0,374,26,0,12,0,1,8,1,2.235376
45,0,1900,18,0,0,60,1,885,46,0,18,1,0,22,0,3.096708
34,0,815,16,0,0,50,0,807,39,0,15,0,0,18,0,3.004444
51,0,250,12,0,0,40,0,400,53,0,17,0,1,30,0,2.302585
49,0,400,12,0,1,40,0,300,46,0,8,1,0,32,0,2.148434
39,0,290,12,0,0,40,1,254,36,0,10,0,0,20,0,1.848455
33,0,405,12,0,0,47,1,346,38,0,12,0,0,20,0,2.157559
43,0,800,14,0,0,40,1,560,39,0,12,0,0,21,0,2.639057
33,1,700,12,0,0,70,1,219,30,0,14,0,0,10,0,1.833724
31,1,611,12,0,0,40,0,420,30,0,12,0,1,12,1,2.351375
48,1,472,10,0,0,40,0,294,47,0,12,0,0,29,0,1.9947
53,0,600,14,0,0,40,0,400,54,0,14,0,1,34,0,2.302585
41,0,824,16,0,0,37,1,1104,39,0,18,0,1,15,0,4.234107
61,0,685,11,0,0,40,0,540,59,0,12,0,0,41,0,2.60269
44,0,1300,18,0,0,40,1,250,44,0,14,0,0,24,0,1.966113
31,1,855,15,0,0,50,1,125,32,0,12,0,0,14,0,1.937942
26,0,460,12,0,0,40,0,400,25,0,14,0,0,5,0,2.302585
43,0,1100,18,0,0,50,1,456,44,0,12,0,0,26,0,1.845827
49,0,360,6,0,0,40,0,400,48,0,14,0,0,28,0,2.302585
41,0,400,16,0,1,40,0,424,39,0,16,1,0,17,1,2.360854
49,0,800,12,0,0,40,1,160,49,0,12,0,0,31,0,1.89712
49,0,440,12,0,0,40,0,345,47,0,12,0,0,29,0,2.154665
51,0,420,10,0,0,40,0,224,49,0,12,0,0,31,0,1.422662
35,0,570,12,0,0,44,0,460,34,0,13,0,0,15,1,2.442347
37,1,925,18,0,0,40,1,200,37,0,17,0,0,14,0,2.813411
35,0,392,9,0,0,40,0,375,27,0,16,0,0,5,1,2.238047
27,1,365,16,0,0,45,0,346,26,0,16,0,1,4,0,2.039776
49,0,400,12,0,0,40,1,85,48,0,12,0,0,30,0,1.734601
48,0,1000,17,0,1,45,0,1800,47,0,15,0,0,26,0,3.401197
34,0,700,16,0,0,60,0,200,34,0,14,0,0,14,1,2.302585
53,0,1300,18,0,0,40,0,250,50,0,12,0,0,32,0,1.427116
22,0,660,16,0,0,50,0,105,22,0,16,0,0,0,0,1.658228
48,0,425,9,0,0,40,1,425,41,0,12,0,0,23,0,2.36321
57,0,1800,18,0,0,40,0,600,54,0,18,0,0,30,0,2.841582
39,0,900,12,0,0,70,1,125,34,0,12,0,0,16,0,1.496109
39,0,750,16,0,0,38,1,1162,37,0,16,0,0,15,0,4.167526
62,0,200,11,0,0,40,0,520,58,0,12,0,0,40,0,2.564949
47,1,560,16,0,0,40,1,640,44,0,16,0,0,22,0,2.772589
26,0,350,16,0,0,45,0,400,28,0,16,0,0,6,0,2.302585
37,1,560,14,0,0,40,1,131,35,0,12,0,0,17,0,1.697144
28,0,800,16,0,0,50,0,450,29,0,12,0,0,11,0,2.197225
53,0,260,12,0,0,40,0,300,51,0,11,0,0,34,0,1.89712
27,0,27,15,0,0,0,0,40,21,0,14,0,0,1,0,1.386294
38,0,400,12,0,0,40,0,350,43,0,8,0,0,29,0,2.169054
37,1,250,11,0,0,9,0,300,32,0,12,0,0,14,1,1.89712
56,0,450,12,0,0,40,0,375,54,0,14,0,0,34,0,2.238047
39,0,800,16,0,0,40,1,1000,35,0,16,0,0,13,0,3.101093
44,1,640,12,0,0,40,1,200,39,0,12,0,0,21,0,1.609438
30,0,540,16,0,0,46,0,423,29,0,16,0,1,7,1,2.358493
24,0,250,12,1,0,40,0,210,30,1,16,0,0,8,0,1.658228
36,0,250,12,0,0,68,1,156,36,0,12,0,0,18,0,2.054124
49,0,400,8,0,0,60,0,164,46,0,13,0,0,27,0,2.104134
33,1,720,12,0,0,55,0,392,32,0,16,0,0,10,1,2.793208
36,0,400,12,0,0,70,1,350,36,0,16,0,0,14,0,1.94591
48,0,480,12,0,0,40,0,288,47,0,12,0,0,29,0,1.974081
46,0,1200,16,0,0,50,0,425,45,0,16,0,0,23,0,2.245427
31,0,254,14,0,0,50,0,69,29,0,14,0,0,9,1,1.526056
64,1,548,10,0,0,41,0,265,59,0,12,0,0,41,0,1.773067
45,1,370,15,0,0,45,0,550,45,0,16,0,0,23,0,2.621039
29,0,600,14,0,0,40,0,700,34,0,13,0,0,15,0,2.995732
29,0,245,12,0,0,20,0,240,29,0,14,0,0,9,1,1.791759
62,0,425,5,0,0,40,0,348,59,0,9,0,0,44,0,2.163323
22,0,165,11,0,0,45,0,180,18,0,12,0,0,0,0,1.504077
39,0,480,12,0,0,40,0,475,37,0,18,0,1,13,1,3.118792
30,0,310,12,0,0,54,0,150,24,0,12,0,0,6,1,1.609438
36,1,675,16,0,0,30,0,494,35,0,13,0,0,16,0,2.647187
40,0,699,14,0,0,40,1,772,40,0,13,0,0,21,0,2.960105
50,0,700,11,0,1,40,0,600,37,0,13,1,0,18,1,2.70805
39,0,550,12,0,0,45,0,220,37,0,12,0,0,19,1,2.621039
58,0,140,12,0,0,50,0,100,54,0,12,0,0,36,0,1.609438
37,0,350,12,0,0,35,1,800,35,0,12,0,0,17,0,2.995732
42,0,1500,18,0,0,45,0,550,41,0,18,0,0,17,0,2.503256
43,0,600,16,0,0,84,1,90,43,0,16,0,1,21,0,1.504077
36,0,400,12,0,0,40,0,400,35,0,12,0,0,17,0,2.302585
30,0,653,13,0,0,45,1,415,32,0,12,0,0,14,0,2.221616
53,1,1060,18,0,0,40,1,274,49,0,12,0,0,31,0,1.924249
50,0,720,14,0,0,42,0,720,46,0,14,0,0,26,0,2.890372
44,1,584,16,0,0,32,1,434,41,0,15,0,0,20,0,2.384165
29,0,418,13,0,0,38,0,760,35,0,13,0,0,16,0,3.07797
63,0,168,8,0,0,24,0,347,54,0,10,0,0,38,0,2.160445
21,0,350,12,0,0,40,0,220,18,0,12,0,0,0,1,1.704748
26,0,500,16,0,0,40,0,320,28,0,16,0,0,6,0,2.079442
25,0,310,12,1,0,40,0,136,23,1,12,0,0,5,1,1.329136
27,1,732,12,0,0,40,0,163,25,0,12,0,0,7,1,1.874874
23,0,700,12,0,0,40,0,240,24,0,12,0,0,6,1,1.791759
42,1,600,18,0,0,40,0,600,38,0,18,0,0,14,1,3.178054
34,1,525,16,0,0,38,0,302,29,0,12,0,0,11,1,2.30923
41,1,600,14,0,0,40,0,560,44,0,12,0,1,26,0,2.639057
22,1,207,12,0,0,41,0,310,21,0,12,0,0,3,1,1.824549
43,0,1923,18,0,0,80,0,360,43,0,18,0,1,19,0,2.420368
26,0,495,14,0,0,65,0,370,26,0,16,0,0,4,0,2.224623
40,1,728,12,0,0,56,1,180,40,0,12,0,0,22,0,2.014903
40,0,750,12,0,0,40,0,105,34,0,12,0,0,16,0,1.94591
35,1,1200,12,0,0,70,0,235,35,0,12,0,0,17,1,2.127381
43,0,884,18,0,0,40,1,280,44,0,13,0,0,25,0,2.079442
32,0,665,15,0,0,45,0,500,30,0,18,0,0,6,1,2.525729
34,0,235,12,0,0,50,0,331,31,0,12,0,0,13,1,2.24677
53,0,500,18,0,0,45,0,1200,52,0,18,0,0,28,0,3.283414
52,0,226,9,1,0,36,0,600,48,1,15,0,1,27,0,2.70805
54,0,320,2,0,1,40,1,280,48,0,4,1,0,38,0,1.94591
54,0,440,12,0,0,32,0,294,46,0,14,0,1,26,0,1.9947
28,0,450,12,0,0,45,0,250,27,0,10,0,0,11,1,1.714798
60,1,560,10,0,0,40,0,364,58,0,14,0,0,38,0,2.431418
59,0,1153,14,0,0,40,0,350,52,0,12,0,0,34,0,2.302585
38,0,345,6,0,1,40,1,365,35,0,9,1,1,20,0,2.211018
47,0,370,18,0,0,37,0,625,44,0,16,0,0,22,0,2.748872
53,0,279,12,0,0,40,0,285,51,0,12,0,0,33,0,1.96361
26,0,416,16,0,0,35,0,332,25,0,16,0,1,3,0,2.116256
45,0,189,2,0,1,0,1,145,47,0,0,1,0,41,0,1.421386
38,1,500,16,0,0,46,0,81,34,0,18,0,0,10,1,1.62186
25,1,500,13,0,0,40,0,754,23,0,13,0,1,4,0,2.754191
43,0,1200,16,0,0,40,1,236,43,0,12,0,0,25,0,1.774952
54,1,575,12,0,0,48,0,555,46,0,12,0,0,28,0,2.630089
58,0,1900,18,0,0,50,1,700,46,0,17,0,0,23,0,2.862201
41,0,705,16,0,0,40,1,259,37,0,14,0,0,17,0,2.00148
41,0,700,12,0,0,45,0,200,37,0,12,0,0,19,1,1.89712
33,1,1250,16,0,0,60,0,12,29,0,12,0,0,11,1,1.386294
44,0,569,18,0,0,40,0,579,38,0,18,0,0,14,1,2.672423
59,0,1500,17,0,0,40,0,1500,58,0,12,0,0,40,0,3.624341
23,0,320,12,0,0,40,0,518,25,0,12,0,0,7,1,2.337952
58,0,800,17,0,0,55,0,140,58,0,12,0,0,40,0,1.94591
52,1,710,12,0,0,45,0,164,52,0,12,0,0,34,1,1.698669
36,1,492,13,0,0,40,1,360,36,0,15,0,1,15,0,2.197225
36,0,1000,17,0,0,85,0,125,35,0,16,0,0,13,1,1.609438
48,0,1000,14,0,0,40,0,700,51,0,12,0,0,33,0,2.862201
32,0,650,12,0,0,55,0,650,31,0,15,0,0,10,1,3.181135
38,1,750,13,0,0,50,1,300,35,0,15,0,0,14,0,2.014903
39,0,1700,17,0,0,65,1,490,38,0,12,0,0,20,0,2.793208
38,0,1500,13,0,0,60,1,214,39,0,13,0,0,20,0,1.677096
44,0,615,12,1,0,40,0,383,43,1,12,0,1,25,0,2.259156
39,0,485,16,0,0,40,1,475,39,0,16,0,0,17,0,2.474435
43,0,580,16,0,0,48,1,210,42,0,12,0,0,24,0,1.658228
45,0,200,3,0,1,44,0,108,44,0,5,1,0,33,1,0.81093
31,0,560,14,0,0,40,0,260,31,0,15,0,0,10,1,1.871802
22,0,225,12,0,0,70,0,250,20,0,12,0,0,2,0,1.832582
39,0,600,12,0,0,40,0,600,33,0,12,0,1,15,1,2.70805
57,0,1000,13,0,0,18,0,100,52,0,12,1,0,34,0,1.609438
29,0,350,12,0,0,40,0,410,28,0,14,0,0,8,1,2.209495
38,0,1200,16,0,0,40,0,370,28,0,13,0,0,9,0,2.224623
27,0,962,16,0,0,50,0,423,27,0,14,0,0,7,0,2.358493
26,0,604,16,0,0,50,0,100,27,0,16,0,0,5,1,2.120264
44,1,688,17,0,0,32,1,465,43,0,17,0,1,20,0,2.453158
44,0,750,18,0,0,40,0,397,49,0,16,0,0,27,0,2.177274
29,1,584,15,0,0,56,0,500,26,0,15,0,0,5,0,2.343407
43,1,975,18,0,0,32,1,827,42,0,18,0,1,18,0,3.316607
31,1,600,12,0,0,40,0,550,27,0,12,0,0,9,0,2.525729
56,1,460,8,0,0,40,0,259,51,0,12,0,0,33,0,1.867949
45,1,280,15,0,0,40,0,337,51,0,13,0,0,32,0,2.131203
32,0,1350,18,0,0,50,0,750,34,0,15,0,0,13,1,2.931194
31,0,640,12,1,0,40,0,400,27,1,11,0,0,10,1,3.218876
33,0,450,16,1,0,60,0,575,34,1,16,0,0,12,1,2.442347
32,0,560,12,0,0,40,1,100,30,0,15,0,0,9,0,1.966113
30,0,539,13,0,0,40,0,372,23,0,12,0,0,5,1,2.230014
32,0,700,12,0,1,50,0,350,25,0,12,1,0,7,0,2.169054
40,0,480,12,0,0,40,0,200,43,0,14,0,0,23,1,1.609438
29,1,460,14,0,0,40,0,400,32,0,12,0,1,14,0,2.302585
33,0,800,18,0,0,60,0,250,32,0,16,0,0,10,1,2.525729
37,0,563,12,0,0,60,1,334,35,0,12,0,0,17,0,2.122262
37,0,500,16,0,0,50,1,500,34,0,17,0,1,11,0,2.525729
48,0,1250,16,0,0,45,0,285,46,0,12,0,0,28,0,1.96361
48,1,320,12,0,0,0,1,494,43,0,14,0,0,23,0,2.7368
